artist,single,released,sales
Bing Crosby,White Christmas,1942,50
Elton John,Candle in the Wind 1997,1997,33
Bing Crosby,Silent Night,1935,30
Mungo Jerry,In the Summertime,1970,30
Bill Haley & His Comets,Rock Around the Clock,1954,25
Domenico Modugno,Nel blu dipinto di blu (Volare),1958,22
Whitney Houston,I Will Always Love You,1992,20
Elvis Presley,It's Now or Never,1960,20
USA for Africa,We Are the World,1985,20
The Ink Spots,If I Didn't Care,1939,19
John Travolta and Olivia Newton-John,You're the One That I Want,1978,15
Kaoma,Lambada,1989,15
Bryan Adams,(Everything I Do) I Do It for You,1991,15
Celine Dion,My Heart Will Go On,1997,15
Gloria Gaynor,I Will Survive,1978,14
Scorpions,Wind of Change,1991,14
Kyu Sakamoto,Sukiyaki,1963,13
Trio,Da Da Da,1981,13
Gene Autry,Rudolph the Red-Nosed Reindeer,1949,12.5
The Beatles,I Want to Hold Your Hand,1963,12
Andrea Bocelli and Sarah Brightman,Time to Say Goodbye,1996,12
Village People,Y.M.C.A.,1978,12
Band Aid,Do They Know It's Christmas?,1984,11.7
Carl Douglas,Kung Fu Fighting,1974,11
George McCrae,Rock Your Baby,1974,11
Mills Brothers,Paper Doll,1943,11
Roger Whittaker,The Last Farewell,1975,11
ABBA,Fernando,1976,10
Roy Acuff,Wabash Cannonball,1942,10
Paul Anka,Diana,1957,10
Toni Braxton,Un-Break My Heart,1996,10
Cher,Believe,1998,10
Los del Río,Macarena,1995,10
Middle of the Road,Chirpy Chirpy Cheep Cheep,1971,10
The Monkees,I'm a Believer,1966,10
Panjabi MC,Mundian To Bach Ke,1998,10
Patti Page,Tennessee Waltz,1950,10
The Penguins,Earth Angel,1954,10
Elvis Presley,Hound Dog,1956,10
Procol Harum,A Whiter Shade of Pale,1967,10
Britney Spears,...Baby One More Time,1998,10
Survivor,Eye of the Tiger,1982,9.5
Wings,Mull of Kintyre,1977,9
The Animals,The House of the Rising Sun,1964,8
Aqua,Barbie Girl,1997,8
The Beatles,Hey Jude,1968,8
Paul Hardcastle,19,1985,8
Mary Hopkin,Those Were the Days,1968,8
Mahalia Jackson,Move On Up a Little Higher,1948,8
Modern Talking,"You're My Heart, You're My Soul",1984,8
Nirvana,Smells Like Teen Spirit,1991,8
O-Zone,Dragostea din tei,2003,8
Freddy Quinn,Heimweh,1956,8
Shocking Blue,Venus,1969,8
Nelly and Kelly Rowland,Dilemma,2002,7.6
Puff Daddy featuring Faith Evans and 112,I'll Be Missing You,1997,7.11
Christina Aguilera,Genie in a Bottle,1999,7
The Beatles,Can't Buy Me Love,1964,7
The Black Crowes,Hard to Handle,1990,7
Chic,Le Freak,1978,7
Danyel Gérard,Butterfly,1971,7
Las Ketchup,The Ketchup Song (Aserejé),2002,7
Scott McKenzie,San Francisco (Be Sure to Wear Flowers in Your Hair),1967,7
Alanis Morissette,Uninvited,1998,7
Queen,Another One Bites the Dust,1980,7
Julie Rogers,The Wedding,1964,7
Royal Scots Dragoon Guards,Amazing Grace,1972,7
Roy Orbison,"Oh, Pretty Woman",1964,7
Spice Girls,Wannabe,1996,7
Ricky Valance,Tell Laura I Love Her,1960,7
Queen,Bohemian Rhapsody,1975,6.7
Culture Club,Do You Really Want to Hurt Me,1982,6.5
Michael Jackson,Billie Jean,1983,6.43
The Archies,"Sugar, Sugar",1969,6
Brotherhood of Man,Save Your Kisses for Me,1976,6
Coolio featuring L.V.,Gangsta's Paradise,1995,6
Bing Crosby and The Andrews Sisters,Jingle Bells,1943,6
